id,nomor_peraturan,judul,tahun,no,definisi,singkatan,heading,keywords
90-pmk.01-2013,90/PMK.01/2013,"Tata Cara Pembayaran Penerimaan Negara Bukan Pajak atas Biaya Perizinan, Biaya Persetujuan, dan Denda Administratif yang Berasal Dari Akuntan Publik, Kantor Akuntan Publik, Cabang Kantor Akuntan Publik, Kantor Akuntan Publik Asing, dan Organisasi Audit Asing",2013,90,"['Penerimaan Negara Bukan Pajak', 'Akuntan Publik', 'Kantor Akuntan Publik', 'Kantor Akuntan Publik Asing', 'Organisasi Audit Asing', 'Pembayaran', 'Kas Negara', 'Wajib Bayar', 'Bank Persepsi', 'Pos Persepsi', 'Penerimaan Negara Bukan Pajak yang Terutang', 'Menteri', 'Pusat Pembinaan Akuntan dan Jasa Penilai']",[],"['KETENTUAN UMUM', 'BIAYA PERIZINAN DAN PERSETUJUAN', 'TATA CARA PEMBAYARAN BIAYA PERIZINAN DAN BIAYA PERSETUJUAN', 'DENDA ADMINISTRATIF', 'TATA CARA PEMBAYARAN DENDA ADMINISTRATIF', 'PENAGIHAN PENERIMAAN NEGARA BUKAN PAJAK YANG TERUTANG', 'KETENTUAN PENUTUP']","['Penerimaan Negara Bukan Pajak', 'Akuntan Publik', 'Kantor Akuntan Publik', 'Kantor Akuntan Publik Asing', 'Organisasi Audit Asing', 'Pembayaran', 'Kas Negara', 'Wajib Bayar', 'Bank Persepsi', 'Pos Persepsi', 'Penerimaan Negara Bukan Pajak yang Terutang', 'Menteri', 'Pusat Pembinaan Akuntan dan Jasa Penilai', 'BIAYA PERIZINAN DAN PERSETUJUAN', 'TATA CARA PEMBAYARAN BIAYA PERIZINAN DAN BIAYA PERSETUJUAN', 'DENDA ADMINISTRATIF', 'TATA CARA PEMBAYARAN DENDA ADMINISTRATIF', 'PENAGIHAN PENERIMAAN NEGARA BUKAN PAJAK YANG TERUTANG']"
97-pmk.011-2012,97/PMK.011/2012,Bea Masuk Ditanggung Pemerintah atas Impor Barang dan Bahan Guna Pembuatan Peralatan Telekomunikasi untuk Tahun Anggaran 2012,2012,97,"['Perusahaan', 'Barang dan Bahan Untuk Industri Pembuatan Peralatan Telekomunikasi']",['Barang dan Bahan'],[],"['Perusahaan', 'Barang dan Bahan Untuk Industri Pembuatan Peralatan Telekomunikasi']"
185-pmk.06-2009,185/PMK.06/2009,Penilaian Aset Bekas Milik Asing/Cina dan Benda Cagar Budaya,2009,185,"['Aset Bekas Milik Asing dan Bekas Milik Cina', 'Benda Cagar Budaya', 'Menteri', 'Direktorat Jenderal', 'Direktur Jenderal', 'Kantor Pelayanan', 'Penilaian', 'Penilai', 'Penilai Internal di Lingkungan Direktorat Jenderal Kekayaan Negara', 'Pemohon Penilaian', 'Nilai Pasar', 'Lelang', 'Basis Data']","['Aset Bekas Milik Asing/Cina', 'Penilai Direktorat Jenderal']","['Umum', 'PERMOHONAN PENILAIAN', 'BASIS DATA PENILAIAN', 'Peraturan Menteri Keuangan ini mulai berlaku pada tanggal diundangkan', 'Objek Penilaian', 'Tujuan Penilaian', 'Kewenangan Penilaian', 'Pembentukan Tim Penilai Internal', 'Pemohon Penilaian', 'Persyaratan Permohonan Penilaian', 'Proses Penilaian oleh Tim Penilai Direktorat Jenderal', 'Proses Penilaian meliputi', 'Berdasarkan permohonan Penilaian, Kepala Kantor Pelayanan menugaskan Tim Penilai Direktorat Jenderal dari Kantor Pelayanan untuk melakukan identifikasi permohonan Penilaian, dengan cara melakukan verifikasi atas', 'Penentuan Tujuan Penilaian', 'Tim Penilai Direktorat Jenderal dari Kantor Pelayanan menentukan tujuan Penilaian berdasarkan permohonan Penilaian dan ketentuan', 'Pengumpulan Data Awal', 'Survei Lapangan', 'Kesimpulan Nilai', 'Laporan Penilaian']","['Aset Bekas Milik Asing dan Bekas Milik Cina', 'Benda Cagar Budaya', 'Menteri', 'Direktorat Jenderal', 'Direktur Jenderal', 'Kantor Pelayanan', 'Penilaian', 'Penilai', 'Penilai Internal di Lingkungan Direktorat Jenderal Kekayaan Negara', 'Pemohon Penilaian', 'Nilai Pasar', 'Lelang', 'Basis Data', 'Umum', 'PERMOHONAN PENILAIAN', 'BASIS DATA PENILAIAN', 'Peraturan Menteri Keuangan ini mulai berlaku pada tanggal diundangkan', 'Objek Penilaian', 'Tujuan Penilaian', 'Kewenangan Penilaian', 'Pembentukan Tim Penilai Internal', 'Pemohon Penilaian', 'Persyaratan Permohonan Penilaian', 'Proses Penilaian oleh Tim Penilai Direktorat Jenderal', 'Proses Penilaian meliputi', 'Berdasarkan permohonan Penilaian, Kepala Kantor Pelayanan menugaskan Tim Penilai Direktorat Jenderal dari Kantor Pelayanan untuk melakukan identifikasi permohonan Penilaian, dengan cara melakukan verifikasi atas', 'Penentuan Tujuan Penilaian', 'Tim Penilai Direktorat Jenderal dari Kantor Pelayanan menentukan tujuan Penilaian berdasarkan permohonan Penilaian dan ketentuan', 'Pengumpulan Data Awal', 'Survei Lapangan', 'Kesimpulan Nilai', 'Laporan Penilaian']"
25-pmk.01-2014,25/PMK.01/2014,Akuntan Beregister Negara,2014,25,"['Akuntan', 'Kantor Jasa Akuntansi', 'Register Negara Akuntan', 'Asosiasi Profesi Akuntan', 'Rekan', 'Menteri', 'Pusat Pembinaan Akuntan dan Jasa Penilai']",[],"['KETENTUAN UMUM', 'REGISTER NEGARA AKUNTAN', 'KANTOR JASA AKUNTANSI', 'PEMBINAAN', 'PANITIA AHLI', 'ASOSIASI PROFESI AKUNTAN', 'TATA CARA PEMBERIAN SANKSI ADMINISTRATIF', 'LAPORAN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP', 'Umum', 'Pendidikan Profesi Akuntansi', 'Ujian Sertifikasi Akuntan Profesional', 'Pengalaman di Bidang Akuntansi', 'Tata Cara Pengajuan Permohonan', 'Warga Negara Asing', 'Kewajiban Akuntan dan Kantor Jasa Akuntansi', 'Pendidikan Profesional Berkelanjutan']","['Akuntan', 'Kantor Jasa Akuntansi', 'Register Negara Akuntan', 'Asosiasi Profesi Akuntan', 'Rekan', 'Menteri', 'Pusat Pembinaan Akuntan dan Jasa Penilai', 'REGISTER NEGARA AKUNTAN', 'KANTOR JASA AKUNTANSI', 'PEMBINAAN', 'PANITIA AHLI', 'ASOSIASI PROFESI AKUNTAN', 'TATA CARA PEMBERIAN SANKSI ADMINISTRATIF', 'LAPORAN', 'Umum', 'Pendidikan Profesi Akuntansi', 'Ujian Sertifikasi Akuntan Profesional', 'Pengalaman di Bidang Akuntansi', 'Tata Cara Pengajuan Permohonan', 'Warga Negara Asing', 'Kewajiban Akuntan dan Kantor Jasa Akuntansi', 'Pendidikan Profesional Berkelanjutan']"
176-pmk.05-2017,176/PMK.05/2017,Pedoman Remunerasi Badan Layanan Umum,2017,176,"['Badan Layanan Umum', 'Pejabat Pengelola BLU', 'Pemimpin BLU', 'Pejabat Keuangan BLU', 'Pejabat Teknis BLU', 'Dewan Pengawas BLU', 'Sekretaris Dewan Pengawas BLU', 'Pegawai BLU', 'Pegawai Negeri Sipil', 'Gaji', 'Honorarium', 'Tunjangan Tetap', 'Insentif']","['Pejabat Pengelola', 'Pejabat Keuangan', 'Pejabat Teknis', 'Dewan Pengawas', 'Sekretaris Dewan Pengawas', 'Pegawai']","['KETENTUAN UMUM', 'PRINSIP', 'KOMPONEN REMUNERASI', 'PENGUSULAN DAN PENETAPAN REMUNERASI', 'MONITORING DAN EVALUASI', 'KETENTUAN LAIN-LAIN', 'KETENTUAN PENUTUP', 'Umum', 'Gaji', 'Honorarium', 'Tunjangan Tetap', 'Insentif', 'Bonus Atas Prestasi', 'Pesangon', 'Pensiun', 'Lain-Lain', 'Pengusulan Remunerasi', 'Penetapan Remunerasi']","['Badan Layanan Umum', 'Pejabat Pengelola BLU', 'Pemimpin BLU', 'Pejabat Keuangan BLU', 'Pejabat Teknis BLU', 'Dewan Pengawas BLU', 'Sekretaris Dewan Pengawas BLU', 'Pegawai BLU', 'Pegawai Negeri Sipil', 'Gaji', 'Honorarium', 'Tunjangan Tetap', 'Insentif', 'PRINSIP', 'KOMPONEN REMUNERASI', 'PENGUSULAN DAN PENETAPAN REMUNERASI', 'MONITORING DAN EVALUASI', 'Umum', 'Gaji', 'Honorarium', 'Tunjangan Tetap', 'Insentif', 'Bonus Atas Prestasi', 'Pesangon', 'Pensiun', 'Lain-Lain', 'Pengusulan Remunerasi', 'Penetapan Remunerasi']"
perpres-16-tahun-2015,PERPRES 16 TAHUN 2015,Kementerian Lingkungan Hidup dan Kehutanan,2015,16,[],[],"['KEDUDUKAN, TUGAS, DAN FUNGSI', 'ORGANISASI', 'UNIT PELAKSANA TEKNIS', 'TATA KERJA', 'PENDANAAN', 'KETENTUAN LAIN-LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP', 'Susunan Organisasi', 'Sekretariat Jenderal', 'Direktorat Jenderal Planologi Kehutanan dan Tata Lingkungan', 'Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem', 'Direktorat Jenderal Pengendalian Daerah Aliran Sungai dan Hutan Lindung', 'Direktorat Jenderal Pengelolaan Hutan Produksi Lestari', 'Direktorat Jenderal Pengendalian Pencemaran dan Kerusakan Lingkungan', 'Direktorat Jenderal Pengelolaan Sampah, Limbah, dan Bahan Beracun Berbahaya', 'Direktorat Jenderal Pengendalian Perubahan Iklim', 'Direktorat Jenderal Perhutanan Sosial dan Kemitraan Lingkungan', 'Direktorat Jenderal Penegakan Hukum Lingkungan Hidup dan Kehutanan', 'Inspektorat Jenderal', 'Badan Penyuluhan dan Pengembangan Sumber Daya Manusia', 'Badan Penelitian, Pengembangan, dan Inovasi', 'Staf Ahli', 'Jabatan Fungsional']","['KEDUDUKAN, TUGAS, DAN FUNGSI', 'ORGANISASI', 'UNIT PELAKSANA TEKNIS', 'TATA KERJA', 'PENDANAAN', 'Susunan Organisasi', 'Sekretariat Jenderal', 'Direktorat Jenderal Planologi Kehutanan dan Tata Lingkungan', 'Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem', 'Direktorat Jenderal Pengendalian Daerah Aliran Sungai dan Hutan Lindung', 'Direktorat Jenderal Pengelolaan Hutan Produksi Lestari', 'Direktorat Jenderal Pengendalian Pencemaran dan Kerusakan Lingkungan', 'Direktorat Jenderal Pengelolaan Sampah, Limbah, dan Bahan Beracun Berbahaya', 'Direktorat Jenderal Pengendalian Perubahan Iklim', 'Direktorat Jenderal Perhutanan Sosial dan Kemitraan Lingkungan', 'Direktorat Jenderal Penegakan Hukum Lingkungan Hidup dan Kehutanan', 'Inspektorat Jenderal', 'Badan Penyuluhan dan Pengembangan Sumber Daya Manusia', 'Badan Penelitian, Pengembangan, dan Inovasi', 'Staf Ahli', 'Jabatan Fungsional']"
168-pmk.06-2013,168/PMK.06/2013,Tata Cara Pengembalian Pengurusan Piutang yang Berasal Dari Penyerahan Badan Usaha Milik Negara/Badan Usaha Milik Daerah dan Badan Usaha yang Modalnya Sebagian atau Seluruhnya Dimiliki oleh Badan Usaha Milik Negara/Badan Usaha Milik Daerah,2013,168,"['Berkas Kasus Piutang Negara', 'Direktorat Jenderal', 'Panitia Urusan Piutang Negara', 'Badan Usaha Milik Negara', 'Badan Usaha Milik Daerah', 'Kantor Pelayanan', 'Channeling', 'Risk sharing', 'Penyerah Piutang', 'Penanggung Hutang', 'Barang Jaminan']","['PUPN', 'BUMN', 'BUMD']",[],"['Berkas Kasus Piutang Negara', 'Direktorat Jenderal', 'Panitia Urusan Piutang Negara', 'Badan Usaha Milik Negara', 'Badan Usaha Milik Daerah', 'Kantor Pelayanan', 'Channeling', 'Risk sharing', 'Penyerah Piutang', 'Penanggung Hutang', 'Barang Jaminan']"
perpres-85-tahun-2013,PERPRES 85 TAHUN 2013,Tunjangan Kinerja Pegawai di Lingkungan Kementerian Pariwisata dan Ekonomi Kreatif,2013,85,"['Pegawai Negeri', 'Pegawai di lingkungan Kementerian Pariwisata dan Ekonomi Kreatif']",[],[],"['Pegawai Negeri', 'Pegawai di lingkungan Kementerian Pariwisata dan Ekonomi Kreatif']"
pp-57-tahun-2013,PP 57 TAHUN 2013,Jenis dan Tarif atas Jenis Penerimaan Negara Bukan Pajak yang Berlaku di Lingkungan Kementerian Pertahanan,2013,57,"['Tarif atas jenis Penerimaan Negara Bukan Pajak', 'Jasa Pelayanan']",[],[],"['Tarif atas jenis Penerimaan Negara Bukan Pajak', 'Jasa Pelayanan']"
82-pmk.03-2017,82/PMK.03/2017,Pemberian Pengurangan Pajak Bumi dan Bangunan,2017,82,"['Undang-Undang Ketentuan Umum dan Tata Cara Perpajakan', 'Undang-Undang Pajak Bumi dan Bangunan', 'Pajak Bumi dan Bangunan', 'Objek pajak PBB', 'Pengurangan PBB', 'Surat Pemberitahuan Pajak Terutang', 'Surat Ketetapan Pajak PBB', 'Surat Tagihan Pajak PBB', 'Kantor Pelayanan Pajak', 'Kantor Wilayah Direktorat Jenderal Pajak']","['Undang-Undang KUP', 'Undang-Undang PBB', 'Objek Pajak']",[],"['Undang-Undang Ketentuan Umum dan Tata Cara Perpajakan', 'Undang-Undang Pajak Bumi dan Bangunan', 'Pajak Bumi dan Bangunan', 'Objek pajak PBB', 'Pengurangan PBB', 'Surat Pemberitahuan Pajak Terutang', 'Surat Ketetapan Pajak PBB', 'Surat Tagihan Pajak PBB', 'Kantor Pelayanan Pajak', 'Kantor Wilayah Direktorat Jenderal Pajak']"
17-pmk.03-2011,17/PMK.03/2011,Permohonan Pengembalian Kelebihan Pembayaran Pajak Bumi dan Bangunan,2011,17,"['Pajak Bumi dan Bangunan', 'Surat Keputusan Kelebihan Pembayaran Pajak Bumi dan Bangunan', 'Surat Pemberitahuan', 'Surat Ketetapan Pajak Pajak Bumi dan Bangunan', 'Perusahaan Jasa Ekspedisi atau Jasa Kurir']",['Perusahaan Jasa'],['KETENTUAN PENUTUP'],"['Pajak Bumi dan Bangunan', 'Surat Keputusan Kelebihan Pembayaran Pajak Bumi dan Bangunan', 'Surat Pemberitahuan', 'Surat Ketetapan Pajak Pajak Bumi dan Bangunan', 'Perusahaan Jasa Ekspedisi atau Jasa Kurir']"
