Nomor Peraturan,Judul,Detail URL,Document URL,Document Type
PMK 6 TAHUN 2024,Rincian Dana Bagi Hasil Cukai Hasil Tembakau Menurut Daerah Provinsi/Kabupaten/Kota Tahun Anggaran 2024,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/8aa706a6-35f3-443d-c1a6-08dc31c06c4a,https://jdih.kemenkeu.go.id/download/cad06bc3-db88-448a-88e9-6a3514790f81/2024pmkeuangan006.pdf,pdf
PMK 5 TAHUN 2024,Tarif Layanan Badan Layanan Umum Balai Besar dan Balai Standarisasi dan Pelayanan Jasa Industri pada Kementerian Perindustrian,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/16b231ef-dd14-40c1-7161-08dc232dd172,https://jdih.kemenkeu.go.id/download/fdcc6134-7957-4bb4-b788-fd18daaccd51/2024pmkeuangan005.pdf,pdf
PMK 4 TAHUN 2024,"Tata Cara Perencanaan, Pengalokasian, Pencairan, Pertanggungjawaban, dan Pengawasan Anggaran yang Bersumber dari Dana Penerimaan Negara Bukan Pajak Misi Pemeliharaan Perdamaian",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/4b5ac929-4c48-4fce-9ac6-08dc21faa3ab,https://jdih.kemenkeu.go.id/download/8a6d759d-e4e4-4fd1-a04c-68f55aba833b/2024pmkeuangan004.pdf,pdf
PMK 3 TAHUN 2024,Tarif Layanan Badan Layanan Umum Rumah Sakit Bhayangkaara pada Kepolisian Negara Republik Indonesia,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/f48e42e3-5d1d-431a-da36-08dc1646a029,https://jdih.kemenkeu.go.id/download/5e69a9d6-f7ba-4768-be2c-a0918acd200f/2024pmkeuangan003.pdf,pdf
PMK 2 TAHUN 2024,Tata Cara Perhitungan Persentase Tertentu atas Peningkatan Belanja Subsidi Energi dan/atau Kompensasi yang Dikenakan terhadap Kenaikan Penerimaan Negara Bukan Pajak Sumber Daya Alam yang Dibagihasilkan,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/35f9eb4e-4de1-4aad-da35-08dc1646a029,https://jdih.kemenkeu.go.id/download/992f80f1-8c13-4449-9c0e-a078f97015eb/2024pmkeuangan002.pdf,pdf
PMK 1 TAHUN 2024,Tata Cara Pembayaran Perjanjian dalam Valuta Asing yang Dananya Bersumber dari Rupiah Murni,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/72695c9c-48e6-44a4-b18c-08dc131180ba,https://jdih.kemenkeu.go.id/download/e47b174a-dbcd-4843-aa53-106d289bec57/2024pmkeuangan001.pdf,pdf
PMK 176 TAHUN 2023,Tanggung Jawab Sosial dan Lingkungan Perusahaan Perseroan (Persero) di Bawah Pembinaan dan Pengawasan Menteri Keuangan,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/d4b09a44-84f5-4ff7-9ec1-08dc157b1369,https://jdih.kemenkeu.go.id/download/55cd437f-2d86-4de9-91b4-3d701936900f/2023pmkeuangan176.pdf,pdf
PMK 175 TAHUN 2023,Sistem Akuntansi dan Pelaporan Keuangan Transaksi Khusus,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/9e2cb94f-5572-4375-b189-08dc131180ba,https://jdih.kemenkeu.go.id/download/b03eda31-2af1-45ad-94df-23d7158033ac/2023pmkeuangan175.pdf,pdf
PMK 174 TAHUN 2023,Sistem Akuntansi dan Pelaporan Keuangan Investasi Pemerintah,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/87a0bbf5-2fd9-41d0-b188-08dc131180ba,https://jdih.kemenkeu.go.id/download/f08f1037-ce1d-4c83-99f7-3ec371f6af4f/2023pmkeuangan174.pdf,pdf
PMK 173 TAHUN 2023,Sistem Akuntansi dan Pelaporan Keuangan Pusat ,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/c288bfe8-6c33-4a3c-b187-08dc131180ba,https://jdih.kemenkeu.go.id/download/b2ba8f72-2ea9-45a3-a815-a186490400df/2023pmkeuangan173.pdf,pdf
PMK 172 TAHUN 2023,Penerapan Prinsip Kewajaran dan Kelaziman Usaha dalam Transaksi yang Dipengaruhi Hubungan Istimewa,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/9edac120-e189-4174-b18a-08dc131180ba,https://jdih.kemenkeu.go.id/download/b0b74668-cf4d-456b-bb23-be5e1aeac2cb/2023pmkeuangan172.pdf,pdf
PMK 171 TAHUN 2023,Tata Cara Pengelolaan Aset pada Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Batam,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/f9bffa0f-1acb-4c70-512a-08dc11c01c12,https://jdih.kemenkeu.go.id/download/c5f20fcc-17ba-4863-b6dc-a08a6a0659ab/2023pmkeuangan171.pdf,pdf
PMK 170 TAHUN 2023,Pengelolaan Aset Eks Bank Dalam Likuidasi Oleh Menteri Keuangan,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/1470a467-18e4-44f9-5128-08dc11c01c12,https://jdih.kemenkeu.go.id/download/196221ef-e6da-4825-95ac-f4989323121c/2023pmkeuangan170.pdf,pdf
PMK 169 TAHUN 2023,Pengelolaan Barang Milik Negara yang Berasal dari Benda Muatan Kapal Tenggelam,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/6c94fc6a-7411-4487-9ec2-08dc157b1369,https://jdih.kemenkeu.go.id/download/a54c8fd1-bbe6-4705-94c7-fe6c9b94b121/2023pmkeuangan169.pdf,pdf
PMK 168 TAHUN 2023,"Petunjuk Pelaksanaan Pemotongan Pajak atas Penghasilan sehubungan dengan Pekerjaan, Jasa, atau Kegiatan Pribadi",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/6f5925c3-ad3a-462b-f7be-08dc0da71246,https://jdih.kemenkeu.go.id/download/e60a82e0-b218-40f5-9d18-b924aa1e11ce/2023pmkeuangan168.pdf,pdf
PMK 167 TAHUN 2023,Tata Cara Pelaksanaan Subsidi Bunga/Subsidi Margin Kredit Usaha Alat dan Mesin Pertanian,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/f3e2cc90-17df-45c6-f7bc-08dc0da71246,https://jdih.kemenkeu.go.id/download/da72cb03-4756-4b85-a806-36d9838ba2a9/2023pmkeuangan167.pdf,pdf
PMK 166 TAHUN 2023,"Tata Cara Penyediaan Anggaran, Penghitungan, Pembayaran, dan Pertanggungjawaban Dana Subsidi Jenis Bahan Bakar Minyak Tertentu dan Liquefied Petroleum Gas Tabung 3 Kilogram",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/fb165ac3-f990-4351-1d7e-08dc103ef44b,https://jdih.kemenkeu.go.id/download/a4b0d4dc-2c9f-4d4f-b453-1b0ebfc2d304/2023pmkeuangan166.pdf,pdf
PMK 165 TAHUN 2023,"Tata Cara Permohonan, Permintaan, dan Pembayaran Sanksi Administratif Berupa Denda dalam rangka Penghentian Penyidikan Tindak Pidana di Bidang Cukai untuk Kepentingan Penerimaan Negara",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/6fa925a1-3455-43ca-9e8d-08dc1003aa55,https://jdih.kemenkeu.go.id/download/3f62b62a-a0c9-4b86-b459-2770d9e4f97e/2023pmkeuangan165.pdf,pdf
PMK 164 TAHUN 2023,Tata Cara Pengenaan Pajak Penghasilan atas Penghasilan dari Usaha yang Diterima atau Diperoleh Wajib Pajak yang Memiliki Peredaran Bruto Tertentu dan Kewajiban Pelaporan Usaha untuk Dikukuhkan sebagai Pengusaha Kena Pajak,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/ed031100-41d7-4b60-9e90-08dc1003aa55,https://jdih.kemenkeu.go.id/download/a99b8e80-9694-46ab-8de1-63c2484aa636/2023pmkeuangan164.pdf,pdf
PMK 163 TAHUN 2023,Pengelolaan Dana Keistimewaan Daerah Istimewa Yogyakarta,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/b73dc7f7-d958-4f9e-9e8f-08dc1003aa55,https://jdih.kemenkeu.go.id/download/bf09ca85-40b1-4ced-920f-2a4bb3144449/2023pmkeuangan163.pdf,pdf
PMK 162 TAHUN 2023,Perubahan atas Peraturan Menteri Keuangan Nomor 145/PMK.06/2021 tentang Pengelolaan Barang Milik Negara yang Berasal dari Barang Rampasan Negara dan Barang Grafitikasi,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/9c421c0f-4d92-4ecf-9e91-08dc1003aa55,https://jdih.kemenkeu.go.id/download/ef411c82-cf1d-4e05-975a-ddc9519e24a7/2023pmkeuangan162.pdf,pdf
PMK 161 TAHUN 2023,Penambahan Investasi Pemerintah Pada Lembaga Keuangan Internasional Tahun Anggaran 2024 ,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/2b460245-3db1-4963-9e8c-08dc1003aa55,https://jdih.kemenkeu.go.id/download/46e3e9f6-e3e8-4a4a-9a49-5b721a0812fe/2023pmkeuangan161.pdf,pdf
PMK 160 TAHUN 2023,"Tarif Cukai Etil  Alkohol, Minuman yang Mengandung Etil Alkohol, dan Konsentrat yang Mengandung Etil Alkohol",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/83eb8954-3162-45c0-a698-08dc0b7157ff,https://jdih.kemenkeu.go.id/download/fa52d458-cdd7-4554-aed2-7a649331bb40/2023pmkeuangan160.pdf,pdf
PMK 159 TAHUN 2023,Perubahan Rincian Dana Bagi Hasil Tahun Anggaran 2023,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/a4ca72df-2611-4d34-4acc-08dc0cd47426,https://jdih.kemenkeu.go.id/download/0844320f-87bd-485c-b80f-cf6ab82ab612/2023pmkeuangan159.pdf,pdf
PMK 158 TAHUN 2023,Perubahan atas Peraturan Menteri Keuangan Nomor 171/PMK.05/2021 tentang Pelaksanaan Sistem SAKTI,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/51a607f9-d75c-4a41-9ec3-08dc157b1369,https://jdih.kemenkeu.go.id/download/dc10e63f-903c-4b7d-9b49-8615cdfdce01/2023pmkeuangan158.pdf,pdf
PMK 157 TAHUN 2023,Tata Cara Pembebasan dari Pengenaan Pajak Pertambahan Nilai atas Impor dan/atau Penyerahan Barang Kena Pajak Tertentu yang Bersifat Strategis dan Penyerahan di dalam Daerah Pabean dan/atau Pemanfaatan dari Luar Daerah Pabean di dalam Daerah Pabean Jasa Kena Pajak Tertentu yang Bersifat Strategis untuk Keperluan Pertahanan dan/atau Keamanan Negara,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/39ba2714-a3b5-43c5-9e8a-08dc1003aa55,https://jdih.kemenkeu.go.id/download/4957f474-f4df-416f-9208-ecddc6685b2a/2023pmkeuangan157.pdf,pdf
PMK 156 TAHUN 2023,Tata Cara Penetapan Nilai Kekayaan Awal Perguruan Tinggi Negeri Badan Hukum,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/951c19c0-55ac-47f1-9e89-08dc1003aa55,https://jdih.kemenkeu.go.id/download/b62eb836-06a1-4e9c-b3dc-af27beb46401/2023pmkeuangan156.pdf,pdf
PMK 155 TAHUN 2023,Perencanaan Kas Pemerintah Pusat,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/d24550f0-c0a3-489c-f7c0-08dc0da71246,https://jdih.kemenkeu.go.id/download/6fb71a67-75ce-4b35-817a-34b56639852b/2023pmkeuangan155.pdf,pdf
PMK 154 TAHUN 2023,Penundaan Atau Pengangsuran Utang di Bidang Kepabeanan dan Cukai,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/bc7b12ad-647f-4c51-f7bf-08dc0da71246,https://jdih.kemenkeu.go.id/download/63ff749e-ca98-447c-9918-4c90fec474fb/2023pmkeuangan154.pdf,pdf
PMK 153 TAHUN 2023,Pengembalian Penerimaan Negara di Bidang Kepabeanan dan Cukai,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/912fdbd3-52ea-43c6-f7bd-08dc0da71246,https://jdih.kemenkeu.go.id/download/7119bb41-636d-4b32-ae84-962476e5ee3f/2023pmkeuangan153.pdf,pdf
PMK 152 TAHUN 2023,Perubahan atas Peraturan Menteri Keuangan Nomor 45/PMK.010/2022 tentang Penetapan Tarif Bea Masuk dalam Kerangka Kerja mengenai Kerja Sama Ekonomi Menyeluruh antar Pemerintah Negara-Negara Anggota Perhimpunan Bangsa-Bangsa Asia Tenggara dan Republik Korea (ASEAN-Korea Free Trade Area),https://jdih.kemenkeu.go.id//in/dokumen/peraturan/e522b071-4ed2-45a6-4acb-08dc0cd47426,https://jdih.kemenkeu.go.id/download/8123d258-a0c8-467c-8cd6-0114988c9881/2023pmkeuangan152.pdf,pdf
PMK 151 TAHUN 2023,Pengenaan Bea Masuk Tindakan Pengamanan terhadap Impor Produk Kertas Sigaret dan Kertas Plug Wrap Non-Porous,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/c8d5413f-338d-4ca7-4aca-08dc0cd47426,https://jdih.kemenkeu.go.id/download/dd900954-239f-403a-a95c-c706ead0b400/2023pmkeuangan151.pdf,pdf
PMK 150 TAHUN 2023,Perubahan atas Peraturan Menteri Keuangan Nomor 51/PMK.06/2021 tentang Pengelolaan Barang Milik Negara yang Berasal dari Aset Eks Kepabeanan dan CUkai,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/d9741e1d-7c4e-4786-f7c1-08dc0da71246,https://jdih.kemenkeu.go.id/download/048511f8-9070-412b-8ea5-72ae40d8390a/2023pmkeuangan150.pdf,pdf
PMK 149 TAHUN 2023,Dana Operasional Badan Penyelenggara Jaminan Sosial Ketenagakerjaan Tahun 2024,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/875f7dbc-bae5-491c-4ad3-08dc0cd47426,https://jdih.kemenkeu.go.id/download/7c899943-5c7e-47b8-a2be-577f9640b4d1/2023pmkeuangan149.pdf,pdf
PMK 148 TAHUN 2023,Dana Operasional Badan Penyelenggara Jaminan Sosial Kesehatan Tahun 2024,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/44c24d0f-3039-4d3c-4ad2-08dc0cd47426,https://jdih.kemenkeu.go.id/download/5ffbd271-e255-4f83-be66-76780d81c2bf/2023pmkeuangan148.pdf,pdf
PMK 147 TAHUN 2023,Penghapusan Piutang di Bidang Kepabeanan dan Cukai,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/ff9810ca-0e12-4e84-4ad1-08dc0cd47426,https://jdih.kemenkeu.go.id/download/35cc031c-a937-4730-b12b-466f147990c7/2023pmkeuangan147.pdf,pdf
PMK 146 TAHUN 2023,"Pengalokasian Dana Desa Setiap Desa, Penyaluran, dan Penggunaan Dana Desa Tahun Anggaran 2024",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/c97a4de9-f187-4bfc-431b-08dc0905f328,https://jdih.kemenkeu.go.id/download/ac689fbb-b760-4aa8-99ed-76954739da27/2023pmkeuangan146.pdf,pdf
PMK 145 TAHUN 2023,Pengelolaan Dana Desa,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/acb9dcb3-87d2-49ba-431a-08dc0905f328,https://jdih.kemenkeu.go.id/download/72498590-1836-401d-9e35-641026f298cc/2023pmkeuangan145.pdf,pdf
PMK 144 TAHUN 2023,"Perubahan atas Peraturan Menteri Keuangan Nomor 50 Tahun 2023 tentang Tata Cara Penyediaan, Pencairan, dan Pertanggungjawaban Dana Penyelenggaraan Cadangan Pangan Pemerintah Tahap Pertama",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/b7aa72da-5a0e-4efa-f477-08dc0775b953,https://jdih.kemenkeu.go.id/download/8e7f5d6f-ea8f-493a-9cfb-673f6b34463f/2023pmkeuangan144.pdf,pdf
PMK 143 TAHUN 2023,"Tata Cara Pemungutan, Pemotongan, dan Penyetoran Pajak Rokok",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/1625cad3-0681-4d9d-f47b-08dc0775b953,https://jdih.kemenkeu.go.id/download/c92ad6a3-2a53-4283-ad44-23ce0f4f0c8c/2023pmkeuangan143.pdf,pdf
PMK 142 TAHUN 2023,Biaya Operasional Pemungutan Pajak Bumi dan Bangunan,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/d7cc27f0-2d73-4f92-8b99-08dc002b74e5,https://jdih.kemenkeu.go.id/download/e9eb0fe4-c9c1-4b26-ab6c-f65ecafa05af/2023pmkeuangan142.pdf,pdf
PMK 141 TAHUN 2023,Ketentuan Impor Barang Pekerja Migran Indonesia,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/e1e0fcee-93c8-4760-9496-08dbfaade958,https://jdih.kemenkeu.go.id/download/2ad57359-063b-4014-b932-e94a29d39486/2023pmkeuangan141.pdf,pdf
PMK 140 TAHUN 2023,Jenis dan Tarif atas Jenis Penerimaan Negara Bukan Pajak yang Bersifat Volatil yang Berlaku pada Kementerian Perdagangan,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/60690454-6987-445c-8b98-08dc002b74e5,https://jdih.kemenkeu.go.id/download/7e1ad704-e207-4d8a-ace6-93a9a38171d0/2023pmkeuangan140.pdf,pdf
PMK 139 TAHUN 2023,Tarif Layanan Badan Layanan Umum Balai Perikanan Budi Daya pada Kementerian Kelautan dan Perikanan,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/79a23631-bc7f-4925-8b97-08dc002b74e5,https://jdih.kemenkeu.go.id/download/df18a7c1-0ea2-49c8-b1a8-9e349a81bdb9/2023pmkeuangan139.pdf,pdf
PMK 138 TAHUN 2023,Tata Cara Pengelolaan Pembiayaan Proyek melalui Penerbitan Surat Berharga Syariah Negara,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/c2878838-6651-4f5f-8b96-08dc002b74e5,https://jdih.kemenkeu.go.id/download/04a3a482-dcbb-42fb-8529-835bea36b3d0/2023pmkeuangan138.pdf,pdf
PMK 137 TAHUN 2023,Operator Ekonomi Bersertifikat (Authorized Economic Operator),https://jdih.kemenkeu.go.id//in/dokumen/peraturan/f209ecdc-02d3-4e49-8b95-08dc002b74e5,https://jdih.kemenkeu.go.id/download/f9ffde1a-0e8d-401c-93ad-8628ff80d483/2023pmkeuangan137.pdf,pdf
PMK 136 TAHUN 2023,"Perubahan Atas Peraturan Menteri Keuangan Nomor 112/PMK.03/2022 tentang Nomor Pokok Wajib Pajak Orang Pribadi, Wajib Pajak Badan, dan Wajib Pajak Instansi Pemerintah",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/4e1c267b-9c3a-4862-9497-08dbfaade958,https://jdih.kemenkeu.go.id/download/50006df6-b9c4-4079-b7d9-33590e3fb6ee/2023pmkeuangan136.pdf,pdf
PMK 135 TAHUN 2023,Perubahan Kedua atas Peraturan Menteri Keuangan Nomor 118/PMK.01/2021 tentang Organisasi dan Tata Kerja Kementerian Keuangan,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/ef3d8d49-cd02-4eac-8b94-08dc002b74e5,https://jdih.kemenkeu.go.id/download/4120147d-27b2-4fbb-be4e-639e5869b052/2023pmkeuangan135.pdf,pdf
PMK 134 TAHUN 2023,"Perubahan Keempat atas Peraturan Menteri Keuangan Nomor 139/PMK.07/2019 tentang Pengelolaan Dana Bagi Hasil, Dana Alokasi Umum, dan Dana Otonomi Khusus",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/d510801a-fb05-4458-8b93-08dc002b74e5,https://jdih.kemenkeu.go.id/download/c39bb727-189c-4ca0-bb7e-8d625c9f0af1/2023pmkeuangan134.pdf,pdf
PMK 133 TAHUN 2023,Tata Cara Pemberian Fasilitas Pajak Pertambahan Nilai Tidak Dipungut atas Penyerahan Barang Kena Pajak Tertentu yang Bersifat Strategis Berupa Anode Slime dan/atau Emas Granula dan Tata Cara Pembayaran Pajak Pertambahan Nilai yang Telah Mendapat Fasilitas Tidak Dipungut dan Dipindahtangankan serta Pengenaan Sanksi atas Keterlambatan Pembayaran Pajak Pertambahan Nilai,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/2d2fd63f-be38-4b5a-8b92-08dc002b74e5,https://jdih.kemenkeu.go.id/download/e1e5eadf-01a2-43db-863f-88d6484713f2/2023pmkeuangan133.pdf,pdf
PMK 132 TAHUN 2023,Petunjuk Pelaksanaan dan Petunjuk Teknis Jabatan Fungsional di Bidang Keuangan Negara,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/995fa964-ff2b-4a90-8b91-08dc002b74e5,https://jdih.kemenkeu.go.id/download/866a8901-2c46-4831-8164-62e5b822cfc4/2023pmkeuangan132.pdf,pdf
PMK 131 TAHUN 2023,Pendanaan Peningkatan Manfaat Jaminan Kesehatan bagi Pimpinan Perwakilan Republik Indonesia di Luar Negeri beserta Keluarga,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/027a0135-446b-4cb9-315b-08dbfb785a94,https://jdih.kemenkeu.go.id/download/ed93b2af-9878-493e-a93d-cd05c1c383d0/2023pmkeuangan131.pdf,pdf
PMK 130 TAHUN 2023,Tata Cara Penundaan dan/atau Pemotongan Dana Alokasi Umum dan/atau Dana Bagi Hasil terhadap Daerah yang Tidak Memenuhi Alokasi Dana Desa,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/09150165-b634-4289-9495-08dbfaade958,https://jdih.kemenkeu.go.id/download/cf3d3948-f8a0-4be1-a891-1025d760e088/2023pmkeuangan130.pdf,pdf
PMK 129 TAHUN 2023,Pemberian Pengurangan Pajak Bumi dan Bangunan,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/48c93517-f70d-4c36-9494-08dbfaade958,https://jdih.kemenkeu.go.id/download/dd18a815-3230-410e-813b-ac3bfe0a1c2e/2023pmkeuangan129.pdf,pdf
PMK 128 TAHUN 2023,Mitra Utama Kepabeanan,https://jdih.kemenkeu.go.id//in/dokumen/peraturan/cd34b62d-05db-4d5b-9493-08dbfaade958,https://jdih.kemenkeu.go.id/download/00ed5fe1-5f7f-412f-a13e-c36a90c25823/2023pmkeuangan128.pdf,pdf
PMK 127 TAHUN 2023,"Pencabutan Peraturan Menteri Keuangan Nomor 
 188/PMK.04/2020 tentang Pemberian Fasilitas Kepabeanan dan/atau Cukai serta Perpajakan atas Impor Pengadaan Vaksin dalam rangka Penanganan Pandemi Corona Virus Disease 2019 (COVID-19)",https://jdih.kemenkeu.go.id//in/dokumen/peraturan/8cf16e8b-d25f-4eb1-d41c-08dbf794a4e2,https://jdih.kemenkeu.go.id/download/e9f817db-9153-4566-b630-6d56c0f03e46/2023pmkeuangan127.pdf,pdf
PMK 126 TAHUN 2023,Pencabutan Peraturan Menteri Keuangan Nomor 34/PMK.04/2020 tentang Pemberian Fasilitas Kepabeanan dan/atau Cukai serta Perpajakan atas Impor Barang untuk Keperluan Penanganan Pandemi Corona Virus Disease 2019 (COVID-19) sebagaimana telah beberapa kali diubah terakhir dengan Peraturan Menteri Keuangan Nomor 164/PMK.04/2022 tentang Perubahan Keempat atas Peraturan Menteri Keuangan Nomor 34/PMK.04/2020 tentang Pemberian Fasilitas Kepabeanan dan/atau Cukai serta Perpajakan atas Impor Barang untuk Keperluan Penanganan Pandemi Corona Virus Disease 2019 (COVID-19),https://jdih.kemenkeu.go.id//in/dokumen/peraturan/45772685-4c84-4859-5dd3-08dbf6b83bff,https://jdih.kemenkeu.go.id/download/89b9f499-7c85-48b0-8e05-08cbc000b0d5/2023pmkeuangan126 (2).pdf,pdf
