nomor_peraturan,judul,tahun,no,definisi,heading,keywords
UU 25 TAHUN 2000,Program Pembangunan Nasional Propenas Tahun 2000 2004,2000,25,['ProgramPembangunanNasional PROPENAS Tahun2000 2004'],[],['ProgramPembangunanNasional PROPENAS Tahun2000 2004']
243/PMK.05/2015,Perubahan atas Peraturan Menteri Keuangan Nomor 194 PMK 05 2014 Tentang Pelaksanaan Anggaran dalam Rangka Penyelesaian Pekerjaan yang Tidak Terselesaikan Sampai dengan Akhir Tahun Anggaran,2015,243,"['Undang UndangKetentuanUmumdanTataCara Perpajakan', 'Undang UndangPajakPertambahanNilaiyang selanjutnyadisingkatdenganUndang UndangPPN', 'Undang UndangPajakBumidanBangunanyang selanjutnyadisingkatdenganUndang UndangPBB', 'Utang Pajak', 'KantorPelayananPajakyangselanjutnyadisingkat denganKPP', 'KuasaBendaharaUmumNegarayangselanjutnya disebut Kuasa BUN', 'KantorPelayananPerbendaharaanNegarayang selanjutnyadisingkatdenganKPPN', 'Surat Keputusan Kelebihan Pembayaran Pajak Bumi dan Bangunan', 'Surat Keputusan Pengembalian Kelebihan Pembayaran Pajak', 'SuratPerintahMembayarKelebihanPajakyang selanjutnyadisingkatdenganSPMKP', 'SuratPerintahPencairanDanayangselanjutnya disingkatdenganSP2D', 'Pajak Penghasilan', 'Pajak Pertambahan Nilai dan atau Pajak Penjualan atas Barang Mewah', 'PajakBumidanBangunansektorperkebunan perhutanan danpertambanganyangselanjutnya disingkat dengan PBB', 'Nomor Transaksi Penerimaan Negara', 'Arsip Data Komputer']","['KETENTUAN UMUM', 'KELEBIHAN PEMBAYARAN PAJAK', 'TATA CARA PENGEMBALIAN KELEBIHAN PEMBAYARAN PAJAK', 'JANGKA WAKTU PENGEMBALIAN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Undang UndangKetentuanUmumdanTataCara Perpajakan', 'Undang UndangPajakPertambahanNilaiyang selanjutnyadisingkatdenganUndang UndangPPN', 'Undang UndangPajakBumidanBangunanyang selanjutnyadisingkatdenganUndang UndangPBB', 'Utang Pajak', 'KantorPelayananPajakyangselanjutnyadisingkat denganKPP', 'KuasaBendaharaUmumNegarayangselanjutnya disebut Kuasa BUN', 'KantorPelayananPerbendaharaanNegarayang selanjutnyadisingkatdenganKPPN', 'Surat Keputusan Kelebihan Pembayaran Pajak Bumi dan Bangunan', 'Surat Keputusan Pengembalian Kelebihan Pembayaran Pajak', 'SuratPerintahMembayarKelebihanPajakyang selanjutnyadisingkatdenganSPMKP', 'SuratPerintahPencairanDanayangselanjutnya disingkatdenganSP2D', 'Pajak Penghasilan', 'Pajak Pertambahan Nilai dan atau Pajak Penjualan atas Barang Mewah', 'PajakBumidanBangunansektorperkebunan perhutanan danpertambanganyangselanjutnya disingkat dengan PBB', 'Nomor Transaksi Penerimaan Negara', 'Arsip Data Komputer', 'KETENTUAN UMUM', 'KELEBIHAN PEMBAYARAN PAJAK', 'TATA CARA PENGEMBALIAN KELEBIHAN PEMBAYARAN PAJAK', 'JANGKA WAKTU PENGEMBALIAN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
PP 33 TAHUN 2011,Pemberian Gaji Pensiun Tunjangan Bulan Ketiga Belas dalam Tahun Anggaran 2011 Kepada Pegawai Negeri Pejabat Negara dan Penerima Pensiun Tunjangan,2011,33,"['Pegawai Negeri', 'Pejabat Negara', 'Penerima pensiun', 'Penerima tunjangan']",[],"['Pegawai Negeri', 'Pejabat Negara', 'Penerima pensiun', 'Penerima tunjangan']"
66/PMK.03/2017,Perubahan atas Peraturan Menteri Keuangan Nomor 29 PMK 03 2015 tentang Penghapusan Sanksi Administrasi Bunga yang Terbit Berdasarkan Pasal 19 Ayat 1 Undang Undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan Sebagaimana Telah Beberapa Kali Diubah Terakhir dengan Undang Undang Nomor 16 Tahun 2009,2017,66,"['Undang Undang Ketentuan Umum dan Tata Cara Perpajakan', 'Utang Pajak', 'Sanksi Administrasi']",[],"['Undang Undang Ketentuan Umum dan Tata Cara Perpajakan', 'Utang Pajak', 'Sanksi Administrasi']"
79/PMK.05/2016,Tata Cara Penarikan Pinjaman dalam Negeri,2016,79,"['Anggaran Pendapatan dan Belanja Negara', 'Pengguna Anggaran', 'Kuasa Pengguna Anggaran', 'Pinjaman Dalam Negeri', 'Pemberi Pinjaman Dalam Negeri']","['KETENTUAN UMUM', 'RUANG LINGKUP', 'PRINSIP PENARIKAN PINJAMAN DALAM NEGERI', 'Umum', 'Penarikan PDN melalui Pembayaran Langsung', 'Penarikan PDN Melalui Mekanisme Reksus', 'Penarikan PDN melalui Mekanisme L C', 'Penarikan PDN Melalui Pembiayaan Pendahuluan', 'KETENTUAN PENUTUP']","['Anggaran Pendapatan dan Belanja Negara', 'Pengguna Anggaran', 'Kuasa Pengguna Anggaran', 'Pinjaman Dalam Negeri', 'Pemberi Pinjaman Dalam Negeri', 'KETENTUAN UMUM', 'RUANG LINGKUP', 'PRINSIP PENARIKAN PINJAMAN DALAM NEGERI', 'Umum', 'Penarikan PDN melalui Pembayaran Langsung', 'Penarikan PDN Melalui Mekanisme Reksus', 'Penarikan PDN melalui Mekanisme L C', 'Penarikan PDN Melalui Pembiayaan Pendahuluan', 'KETENTUAN PENUTUP']"
109/PMK.05/2017,Tarif Layanan Badan Layanan Umum Universitas Islam Negeri Imam Bonjol Padang pada Kementerian Agama,2017,109,['Tarif Layanan Badan Layanan Umum Universitas Islam Negeri Imam Bonjol Padang pada Kementerian Agama'],[],['Tarif Layanan Badan Layanan Umum Universitas Islam Negeri Imam Bonjol Padang pada Kementerian Agama']
UU 5 TAHUN 2011,Akuntan Publik,2011,5,"['Akuntan Publik', 'Akuntan Publik Asing', 'Asosiasi Profesi Akuntan Publik', 'Asosiasi Profesi Akuntan', 'Kantor Akuntan Publik', 'Organisasi Audit Indonesia', 'Kantor Akuntan Publik Asing', 'Organisasi Audit Asing', 'Pihak Terasosiasi', 'Rekan', 'Standar Profesional Akuntan Publik', 'Menteri']",['KOMITE PROFESI AKUNTAN PUBLIK'],"['Akuntan Publik', 'Akuntan Publik Asing', 'Asosiasi Profesi Akuntan Publik', 'Asosiasi Profesi Akuntan', 'Kantor Akuntan Publik', 'Organisasi Audit Indonesia', 'Kantor Akuntan Publik Asing', 'Organisasi Audit Asing', 'Pihak Terasosiasi', 'Rekan', 'Standar Profesional Akuntan Publik', 'Menteri', 'KOMITE PROFESI AKUNTAN PUBLIK']"
PP 17 TAHUN 2020,Perubahan atas Peraturan Pemerintah Nomor 11 Tahun 2017 tentang Manajemen Pegawai Negeri Sipil,2020,17,[],['Penyetaraan Jabatan PNS Karena Penataan Birokrasi'],['Penyetaraan Jabatan PNS Karena Penataan Birokrasi']
70/PMK.02/2016,Perubahan atas Peraturan Menteri Keuangan Nomor 87 PMK 02 2015 tentang Tata Cara Penggunaan Anggaran Bagian Anggaran Bendahara Umum Negara Pengelolaan Belanja Lainnya Ba 999 08,2016,70,"['Anggaran Pendapatan dan Belanja Negara', 'Bendahara Umum Negara', 'Bagian Anggaran Bendahara Umum Negara', '', '', '', '', 'Daftar Isian Pelaksanaan Anggaran Bendahara Umum Negara', 'Surat Penetapan Pergeseran Anggaran Belanja Antar Subbagian Anggaran dalam Bagian Anggaran Bendahara Umum Negara', 'Aparat Pengawasan Intern Pemerintah Kementerian Negara Lembaga']",[],"['Anggaran Pendapatan dan Belanja Negara', 'Bendahara Umum Negara', 'Bagian Anggaran Bendahara Umum Negara', '', '', '', '', 'Daftar Isian Pelaksanaan Anggaran Bendahara Umum Negara', 'Surat Penetapan Pergeseran Anggaran Belanja Antar Subbagian Anggaran dalam Bagian Anggaran Bendahara Umum Negara', 'Aparat Pengawasan Intern Pemerintah Kementerian Negara Lembaga']"
212/PMK.07/2010,Pedoman Umum dan Alokasi Prognosa Definitif Tunjangan Profesi Guru Pegawai Negeri Sipil Daerah Kepada Daerah Provinsi Kabupaten dan Kota Tahun Anggaran 2010,2010,212,['Total alokasi Tunjangan Profesi Guru PNSD dalam APBN Tahun Anggaran 2010'],[],['Total alokasi Tunjangan Profesi Guru PNSD dalam APBN Tahun Anggaran 2010']
195/PMK.05/2018,Monitoring dan Evaluasi Pelaksanaan Anggaran Belanja Kementerian Negara Lembaga,2018,195,"['Belanja Kementerian Negara Lembaga', 'Monitoring dan Evaluasi Pelaksanaan Anggaran Belanja Kementerian Negara Lembaga', 'Bendahara Umum Negara', 'Pengguna Anggaran', 'Menteri Pimpinan Lembaga', 'Kementerian Negara Lembaga', 'Kantor Wilayah Direktorat Jenderal Perbendaharaan', 'Kantor Pelayanan Perbendaharaan Negara', 'Satuan Kerja', 'Indikator Kinerja Pelaksanaan Anggaran']","['KETENTUAN UMUM', 'RUANG LINGKUP TUJUAN DAN MANFAAT', 'MONITORING DAN EVALUASI PELAKSANAAN ANGGARAN BELANJA KEMENTERIAN NEGARA LEMBAGA OLEH MENTERI KEUANGAN SELAKU BENDAHARA UMUM NEGARA', 'MONITORING DAN EVALUASI PELAKSANAAN ANGGARAN BELANJA KEMENTERIAN NEGARA LEMBAGA OLEH MENTERI PIMPINAN LEMBAGA SELAKU PA', 'PENUTUP']","['Belanja Kementerian Negara Lembaga', 'Monitoring dan Evaluasi Pelaksanaan Anggaran Belanja Kementerian Negara Lembaga', 'Bendahara Umum Negara', 'Pengguna Anggaran', 'Menteri Pimpinan Lembaga', 'Kementerian Negara Lembaga', 'Kantor Wilayah Direktorat Jenderal Perbendaharaan', 'Kantor Pelayanan Perbendaharaan Negara', 'Satuan Kerja', 'Indikator Kinerja Pelaksanaan Anggaran', 'KETENTUAN UMUM', 'RUANG LINGKUP TUJUAN DAN MANFAAT', 'MONITORING DAN EVALUASI PELAKSANAAN ANGGARAN BELANJA KEMENTERIAN NEGARA LEMBAGA OLEH MENTERI KEUANGAN SELAKU BENDAHARA UMUM NEGARA', 'MONITORING DAN EVALUASI PELAKSANAAN ANGGARAN BELANJA KEMENTERIAN NEGARA LEMBAGA OLEH MENTERI PIMPINAN LEMBAGA SELAKU PA', 'PENUTUP']"
176/PMK.04/2013,Perubahan atas Peraturan Menteri Keuangan Nomor 254 PMK 04 2011 tentang Pembebasan Bea Masuk atas Impor Barang dan Bahan untuk Diolah Dirakit atau Dipasang pada Barang Lain dengan Tujuan untuk Diekspor,2013,176,"['Impor', 'Ekspor', 'Pembebasan', 'Perusahaan', 'Nomor Induk Perusahaan Pembebasan', 'Bahan Baku', 'Bahan Baku Yang Rusak', 'Hasil Produksi', 'Hasil Produksi Yang Rusak', 'Diolah', 'Dirakit', 'Dipasang', 'Konversi', 'Menteri', 'Kantor Wilayah atau KPU', 'Orang']",[],"['Impor', 'Ekspor', 'Pembebasan', 'Perusahaan', 'Nomor Induk Perusahaan Pembebasan', 'Bahan Baku', 'Bahan Baku Yang Rusak', 'Hasil Produksi', 'Hasil Produksi Yang Rusak', 'Diolah', 'Dirakit', 'Dipasang', 'Konversi', 'Menteri', 'Kantor Wilayah atau KPU', 'Orang']"
247/PMK.011/2009,Perubahan Klasifikasi dan Penetapan Tarif Bea Masuk atas Barang Impor Produk Produk Tertentu dalam Rangka Skema Common Effective Preferential Tariff Cept,2009,247,"['Undang Undang Cukai', 'Penegahan', 'Penyegelan', 'Pengangkut', 'Audit Cukai', 'Direktur Jenderal', 'Pejabat Bea dan Cukai', 'Kantor', 'Kepala Kantor']","['KETENTUAN UMUM DAN RUANG LINGKUP PENINDAKAN', 'Pemeriksaan Sarana Pengangkut Barang Kena Cukai dan atau Barang Lain yang Terkait dengan Barang Kena Cukai yang berada di Sarana Pengangkut', 'Pemeriksaan Tempat Usaha Penyalur Tempat Penjualan Eceran atau Tempat Lain yang Bukan Rumah Tinggal', 'Audit Cukai', 'PENEGAHAN', 'PENYEGELAN', 'TINDAKAN BERUPA TIDAK MELAYANI PEMESANAN PITA CUKAI ATAU TANDA PELUNASAN CUKAI LAINNYA', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'PENUTUP']","['Undang Undang Cukai', 'Penegahan', 'Penyegelan', 'Pengangkut', 'Audit Cukai', 'Direktur Jenderal', 'Pejabat Bea dan Cukai', 'Kantor', 'Kepala Kantor', 'KETENTUAN UMUM DAN RUANG LINGKUP PENINDAKAN', 'Pemeriksaan Sarana Pengangkut Barang Kena Cukai dan atau Barang Lain yang Terkait dengan Barang Kena Cukai yang berada di Sarana Pengangkut', 'Pemeriksaan Tempat Usaha Penyalur Tempat Penjualan Eceran atau Tempat Lain yang Bukan Rumah Tinggal', 'Audit Cukai', 'PENEGAHAN', 'PENYEGELAN', 'TINDAKAN BERUPA TIDAK MELAYANI PEMESANAN PITA CUKAI ATAU TANDA PELUNASAN CUKAI LAINNYA', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'PENUTUP']"
PERPRES 22 TAHUN 2013,Tunjangan Jabatan Fungsional Pengembang Teknologi Pembelajaran,2013,22,['Dalam Peraturan Presiden ini yang dimaksud dengan Tunjangan JabatanFungsional Pengembang Teknologi Pembelajaran'],[],['Dalam Peraturan Presiden ini yang dimaksud dengan Tunjangan JabatanFungsional Pengembang Teknologi Pembelajaran']
UU 21 TAHUN 2001,Otonomi Khusus Bagi Provinsi Papua,2001,21,['Dalam Undang undang ini yang dimaksud dengan a Provinsi Papua adalah Provinsi Irian Jaya yang diberi Otonomi Khusus dalam kerangka Negara Kesatuan Republik Indonesia b Otonomi Khusus adalah kewenangan khusus yang diakui dan diberikan kepada Provinsi Papua untuk mengatur dan mengurus kepentingan masyarakat setempat menurut prakarsa sendiri berdasarkan aspirasi dan hak hak dasar masyarakat Papua c Pemerintah Pusat selanjutnya disebut Pemerintah adalah perangkat Negara Kesatuan Republik Indonesia yang terdiri atas Presiden beserta para Menteri d Pemerintah Daerah Provinsi Papua adalah Gubernur beserta perangkat lain sebagai Badan Eksekutif Provinsi Papua e Gubernur Provinsi Papua selanjutnya disebut Gubernur adalah Kepala Daerah dan Kepala Pemerintahan yang bertanggung jawab penuh menyelenggarakan pemerintahan di Provinsi Papua dan sebagai wakil Pemerintah di Provinsi Papua f Dewan Perwakilan Rakyat Papua'],"['KETENTUAN UMUM', 'LAMBANG LAMBANG', 'PEMBAGIAN DAERAH', 'KEWENANGAN DAERAH', 'BENTUK DAN SUSUNAN PEMERINTAHAN', 'Umum', 'Badan Legislatif', 'Badan Eksekutif', 'Majelis Rakyat Papua', 'PERANGKAT DAN KEPEGAWAIAN', 'PARTAI POLITIK', 'PERATURAN DAERAH KHUSUS PERATURAN DAERAH PROVINSI DAN KEPUTUSAN GUBERNUR PRESIDEN REPUBLIK INDONESIA', 'PRESIDEN REPUBLIK INDONESIA KEUANGAN', 'PEREKONOMIAN', 'PERLINDUNGAN HAK HAK MASYARAKAT ADAT', 'HAK ASASI MANUSIA', 'KEPOLISIAN DAERAH PROVINSI PAPUA', 'KEKUASAAN PERADILAN', 'KEAGAMAAN', 'PENDIDIKAN DAN KEBUDAYAAN', 'KESEHATAN', 'KEPENDUDUKAN DAN KETENAGAKERJAAN', 'PEMBANGUNAN BERKELANJUTAN DAN LINGKUNGAN HIDUP', 'SOSIAL', 'PENGAWASAN PRESIDEN REPUBLIK INDONESIA', 'KERJA SAMA DAN PENYELESAIAN PERSELISIHAN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Dalam Undang undang ini yang dimaksud dengan a Provinsi Papua adalah Provinsi Irian Jaya yang diberi Otonomi Khusus dalam kerangka Negara Kesatuan Republik Indonesia b Otonomi Khusus adalah kewenangan khusus yang diakui dan diberikan kepada Provinsi Papua untuk mengatur dan mengurus kepentingan masyarakat setempat menurut prakarsa sendiri berdasarkan aspirasi dan hak hak dasar masyarakat Papua c Pemerintah Pusat selanjutnya disebut Pemerintah adalah perangkat Negara Kesatuan Republik Indonesia yang terdiri atas Presiden beserta para Menteri d Pemerintah Daerah Provinsi Papua adalah Gubernur beserta perangkat lain sebagai Badan Eksekutif Provinsi Papua e Gubernur Provinsi Papua selanjutnya disebut Gubernur adalah Kepala Daerah dan Kepala Pemerintahan yang bertanggung jawab penuh menyelenggarakan pemerintahan di Provinsi Papua dan sebagai wakil Pemerintah di Provinsi Papua f Dewan Perwakilan Rakyat Papua', 'KETENTUAN UMUM', 'LAMBANG LAMBANG', 'PEMBAGIAN DAERAH', 'KEWENANGAN DAERAH', 'BENTUK DAN SUSUNAN PEMERINTAHAN', 'Umum', 'Badan Legislatif', 'Badan Eksekutif', 'Majelis Rakyat Papua', 'PERANGKAT DAN KEPEGAWAIAN', 'PARTAI POLITIK', 'PERATURAN DAERAH KHUSUS PERATURAN DAERAH PROVINSI DAN KEPUTUSAN GUBERNUR PRESIDEN REPUBLIK INDONESIA', 'PRESIDEN REPUBLIK INDONESIA KEUANGAN', 'PEREKONOMIAN', 'PERLINDUNGAN HAK HAK MASYARAKAT ADAT', 'HAK ASASI MANUSIA', 'KEPOLISIAN DAERAH PROVINSI PAPUA', 'KEKUASAAN PERADILAN', 'KEAGAMAAN', 'PENDIDIKAN DAN KEBUDAYAAN', 'KESEHATAN', 'KEPENDUDUKAN DAN KETENAGAKERJAAN', 'PEMBANGUNAN BERKELANJUTAN DAN LINGKUNGAN HIDUP', 'SOSIAL', 'PENGAWASAN PRESIDEN REPUBLIK INDONESIA', 'KERJA SAMA DAN PENYELESAIAN PERSELISIHAN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
UU 11 TAHUN 1967,Ketentuan Ketentuan Pokok Pertambangan,1967,11,['Penguasaan bahan galian Semua bahan galian yang terdapat dalam wilayah hukum pertambangan Indonesia yang merupakan endapan endapan alam sebagai karunia Tuhan Yang Maha Esa'],"['KETENTUAN UMUM', 'PENGGOLONGAN DAN PELAKSANAAN PENGUSAHAAN BAHAN GALIAN', 'BENTUK DAN ORGANISASI PERUSAHAAN PERTAMBANGAN', 'USAHA PERTAMBANGAN', 'KUASA PERTAMBANGAN', 'CARA DAN SYARAT SYARAT BAGAIMANA MEMPEROLEH KUASA PERTAMBANGAN', 'BERAKHIRNYA KUASA PERTAMBANGAN', 'HUBUNGAN KUASA PERTAMBANGAN DENGAN HAK HAK TANAH', 'PUNGUTAN PUNGUTAN NEGARA', 'PENGAWASAN PERTAMBANGAN', 'KETENTUAN KETENTUAN PIDANA', 'KETENTUAN PERALIHAN DAN PENUTUP']","['Penguasaan bahan galian Semua bahan galian yang terdapat dalam wilayah hukum pertambangan Indonesia yang merupakan endapan endapan alam sebagai karunia Tuhan Yang Maha Esa', 'KETENTUAN UMUM', 'PENGGOLONGAN DAN PELAKSANAAN PENGUSAHAAN BAHAN GALIAN', 'BENTUK DAN ORGANISASI PERUSAHAAN PERTAMBANGAN', 'USAHA PERTAMBANGAN', 'KUASA PERTAMBANGAN', 'CARA DAN SYARAT SYARAT BAGAIMANA MEMPEROLEH KUASA PERTAMBANGAN', 'BERAKHIRNYA KUASA PERTAMBANGAN', 'HUBUNGAN KUASA PERTAMBANGAN DENGAN HAK HAK TANAH', 'PUNGUTAN PUNGUTAN NEGARA', 'PENGAWASAN PERTAMBANGAN', 'KETENTUAN KETENTUAN PIDANA', 'KETENTUAN PERALIHAN DAN PENUTUP']"
91/PMK.07/2012,Alokasi Kurang Bayar Dana Bagi Hasil Sumber Daya Alam Pertambangan Panas Bumi Tahun Anggaran 2010 yang Dialokasikan dalam Anggaran Pendapatan dan Belanja Negara Perubahan Tahun Anggaran 2012,2012,91,['Alokasi Kurang Bayar Dana Bagi Hasil Sumber Daya Alam DBH SDA Pertambangan Panas Bumi Tahun Anggaran 2010'],[],['Alokasi Kurang Bayar Dana Bagi Hasil Sumber Daya Alam DBH SDA Pertambangan Panas Bumi Tahun Anggaran 2010']
54/PMK.05/2018,Petunjuk Teknis Pelaksanaan Pemberian Tunjangan Hari Raya dalam Tahun Anggaran 2018 Kepada Pegawai Negeri Sipil Prajurit Tentara Nasional Indonesia Anggota Kepolisian Negara Republik Indonesia Pejabat Negara Penerima Pensiun dan Penerima Tunjangan,2018,54,"['PegawaiNegeriSipilyangselanjutnyadisingkatPNS', 'PrajuritTentaraNasionalIndonesiayangselanjutnya disebut Prajurit TNI', 'AnggotaKepolisianNegaraRepublikIndonesia', 'Pejabat Negara', 'Penerima Pensiun', 'Penerima Tunjangan', 'SuratPerintahMembayaryangselanjutnyadisingkat SPM', 'Surat Perintah Pencairan Dana']","['KETENTUAN UMUM', 'PEMBERIAN TUNJANGAN HARI RAYA', 'PEMBAYARAN TUNJANGAN HARI RAYA UNTUK PEGAWAI NEGERI SIPIL YANG BEKERJA PADA PEMERINTAH PUSAT PRAJURIT TENTARA NASIONAL INDONESIA DAN ANGGOTA KEPOLISIAN NEGERA REPUBLIK INDONESIA DAN PEJABAT NEGARA', 'PEMBAYARAN TUNJANGAN HARI RAYA UNTUK PEGAWAI NEGERI SIPIL YANG BEKERJA PADA PEMERINTAHAN DAERAH GUBERNUR DAN WAKIL GUBERNUR BUPATI WALIKOTA WAKIL BUPATI WAKIL WALIKOTA DAN ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH', 'PEMBAYARAN TUNJANGAN HARI RAYA UNTUK PENERIMA PENSIUN ATAU TUNJANGAN', 'PENGENDALIAN INTERNAL', 'KETENTUAN PENUTUP']","['PegawaiNegeriSipilyangselanjutnyadisingkatPNS', 'PrajuritTentaraNasionalIndonesiayangselanjutnya disebut Prajurit TNI', 'AnggotaKepolisianNegaraRepublikIndonesia', 'Pejabat Negara', 'Penerima Pensiun', 'Penerima Tunjangan', 'SuratPerintahMembayaryangselanjutnyadisingkat SPM', 'Surat Perintah Pencairan Dana', 'KETENTUAN UMUM', 'PEMBERIAN TUNJANGAN HARI RAYA', 'PEMBAYARAN TUNJANGAN HARI RAYA UNTUK PEGAWAI NEGERI SIPIL YANG BEKERJA PADA PEMERINTAH PUSAT PRAJURIT TENTARA NASIONAL INDONESIA DAN ANGGOTA KEPOLISIAN NEGERA REPUBLIK INDONESIA DAN PEJABAT NEGARA', 'PEMBAYARAN TUNJANGAN HARI RAYA UNTUK PEGAWAI NEGERI SIPIL YANG BEKERJA PADA PEMERINTAHAN DAERAH GUBERNUR DAN WAKIL GUBERNUR BUPATI WALIKOTA WAKIL BUPATI WAKIL WALIKOTA DAN ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH', 'PEMBAYARAN TUNJANGAN HARI RAYA UNTUK PENERIMA PENSIUN ATAU TUNJANGAN', 'PENGENDALIAN INTERNAL', 'KETENTUAN PENUTUP']"
UU 18TAHUN2001,Otonomi Khusus Bagi Provinsi Daerah Istimewa Aceh Sebagai Provinsi Nanggroe Aceh Darussalam,2001,18,"['Pemerintah Pusat selanjutnya disebut Pemerintah', 'Provinsi Nanggroe Aceh Darussalam', 'Wali Nanggroe dan Tuha Nanggroe', 'Gubernur Provinsi Nanggroe Aceh Darussalam', 'Pemerintah Daerah Provinsi Nanggroe Aceh Darussalam', 'Dewan Perwakilan Rakyat Daerah DPRD Provinsi Nanggroe Aceh Darussalam', 'Mahkamah Syar iyah Provinsi Nanggroe Aceh Darussalam', 'Qanun Provinsi Nanggroe Aceh Darussalam', 'Kabupaten', 'Kota', 'Kecamatan Sagoe Cut atau nama lain', 'Mukim', 'Gampong atau nama lain', 'Lambang daerah termasuk alam atau panji kemegahan']","['KETENTUAN UMUM', 'SUSUNAN DAN KEDUDUKAN PROVINSI NANGGROE ACEH DARUSSALAM', 'KEWENANGAN PROVINSI NANGGROE ACEH DARUSSALAM', 'KEUANGAN PROVINSI NANGGROE ACEH DARUSSALAM', 'LAMBANG TERMASUK ALAM DI PROVINSI NANGGROE ACEH DARUSSALAM', 'LEMBAGA LEGISLATIF PROVINSI NANGGROE ACEH DARUSSALAM', 'WALI NANGGROE DAN TUHA NANGGROE SEBAGAI PENYELENGGARA ADAT BUDAYA DAN PEMERSATU MASYARAKAT PRESIDEN REPUBLIK INDONESIA', 'BADAN EKSEKUTIF PROVINSI NANGGROE ACEH DARUSSALAM', 'PEMILIH DAN HAK PEMILIH', 'KEPOLISIAN DAERAH PROVINSI NANGGROE ACEH DARUSSALAM PRESIDEN REPUBLIK INDONESIA', 'KEJAKSAAN PROVINSI NANGGROE ACEH DARUSSALAM', 'MAHKAMAH SYARIYAH PROVINSI NANGGROE ACEH DARUSSALAM', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Pemerintah Pusat selanjutnya disebut Pemerintah', 'Provinsi Nanggroe Aceh Darussalam', 'Wali Nanggroe dan Tuha Nanggroe', 'Gubernur Provinsi Nanggroe Aceh Darussalam', 'Pemerintah Daerah Provinsi Nanggroe Aceh Darussalam', 'Dewan Perwakilan Rakyat Daerah DPRD Provinsi Nanggroe Aceh Darussalam', 'Mahkamah Syar iyah Provinsi Nanggroe Aceh Darussalam', 'Qanun Provinsi Nanggroe Aceh Darussalam', 'Kabupaten', 'Kota', 'Kecamatan Sagoe Cut atau nama lain', 'Mukim', 'Gampong atau nama lain', 'Lambang daerah termasuk alam atau panji kemegahan', 'KETENTUAN UMUM', 'SUSUNAN DAN KEDUDUKAN PROVINSI NANGGROE ACEH DARUSSALAM', 'KEWENANGAN PROVINSI NANGGROE ACEH DARUSSALAM', 'KEUANGAN PROVINSI NANGGROE ACEH DARUSSALAM', 'LAMBANG TERMASUK ALAM DI PROVINSI NANGGROE ACEH DARUSSALAM', 'LEMBAGA LEGISLATIF PROVINSI NANGGROE ACEH DARUSSALAM', 'WALI NANGGROE DAN TUHA NANGGROE SEBAGAI PENYELENGGARA ADAT BUDAYA DAN PEMERSATU MASYARAKAT PRESIDEN REPUBLIK INDONESIA', 'BADAN EKSEKUTIF PROVINSI NANGGROE ACEH DARUSSALAM', 'PEMILIH DAN HAK PEMILIH', 'KEPOLISIAN DAERAH PROVINSI NANGGROE ACEH DARUSSALAM PRESIDEN REPUBLIK INDONESIA', 'KEJAKSAAN PROVINSI NANGGROE ACEH DARUSSALAM', 'MAHKAMAH SYARIYAH PROVINSI NANGGROE ACEH DARUSSALAM', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
275/PMK.05/2014,Manual Statistik Keuangan Pemerintah Indonesia,2014,275,"['Statistik Keuangan Pemerintah', 'ManualStatistikKeuanganPemerintahIndonesia', 'Laporan Statistik Keuangan Pemerintah']",[],"['Statistik Keuangan Pemerintah', 'ManualStatistikKeuanganPemerintahIndonesia', 'Laporan Statistik Keuangan Pemerintah']"
PP 22 TAHUN 1996,Pengenaan Sanksi Administratif Kepabeanan,1996,22,"['Undang undang', 'Menteri', 'Sanksi administrasi']",[],"['Undang undang', 'Menteri', 'Sanksi administrasi']"
10/PMK.05/2019,Tarif Layanan Badan Layanan Umum Balai Pendidikan dan Pelatihan Transportasi Darat Bali pada Kementerian Perhubungan,2019,10,['Tarif layanan Badan Layanan Umum Balai Pendidikan dan Pelatihan Transportasi Darat Bali pada Kementerian Perhubungan'],[],['Tarif layanan Badan Layanan Umum Balai Pendidikan dan Pelatihan Transportasi Darat Bali pada Kementerian Perhubungan']
