id,nomor_peraturan,judul,tahun,no,definisi,singkatan,heading
187-pmk.07-2013,187/PMK.07/2013,Perubahan atas Peraturan Menteri Keuangan Nomor 21/PMK.07/2013 tentang Perkiraan Alokasi Tambahan Dana Bagi Hasil Sumber Daya Alam Pertambangan Minyak Bumi dan Gas Bumi untuk Provinsi Aceh Tahun Anggaran 2013.,2013,187,[],[],[]
pp-4-tahun-2013,PP 4 TAHUN 2013,Tata Cara Pelaksanaan Penempatan Tenaga Kerja Indonesia di Luar Negeri oleh Pemerintah.,2013,4,"['Calon Tenaga Kerja Indonesia', 'Tenaga Kerja Indonesia', 'Penempatan TKI', 'Pembekalan Akhir Pemberangkatan', 'Kartu Tenaga Kerja Luar Negeri', 'Pengguna Berbadan Hukum', 'Pemerintah', 'Perjanjian Penempatan TKI oleh Pemerintah', 'Perjanjian Kerja', 'Perwakilan Republik Indonesia di Luar Negeri', 'Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia', 'Dinas Provinsi', 'Dinas Kabupaten/Kota', 'Menteri']","['calon TKI', 'dengan TKI', 'Perjanjian Penempatan TKI', 'Perwakilan', 'BNP2TKI']","['KETENTUAN UMUM', 'TATA CARA PELAKSANAAN PENEMPATAN TKI', 'PERLINDUNGAN TKI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP', 'Umum', 'Teknis Pelaksanaan Penempatan TKI']"
69-pmk.02-2010,69/PMK.02/2010,Tata Cara Revisi Anggaran Tahun Anggaran 2010.,2010,69,"['Revisi Anggaran', 'Rencana Kerja dan Anggaran Kementerian Negara/Lembaga,', 'Satuan Anggaran Per Satuan Kerja,', 'Daftar Isian Pelaksanaan Anggaran,', 'Hasil Optimalisasi', 'Perubahan Pagu Penerimaan Negara Bukan Pajak (PNBP)', 'Luncuran Pinjaman/Hibah Luar Negeri (PHLN) atau Pinjaman/Hibah Dalam Negeri (PHDN)', 'Biaya Operasional', 'Target Kinerja', 'Sasaran Program', 'Keluaran ( output)', 'Komponen Input']",[],"['KETENTUAN UMUM', 'REVISI ANGGARAN', 'TATA CARA REVISI ANGGARAN DAN PENGESAHAN REVISI DIPA', 'PELAPORAN REVISI ANGGARAN KEPADA DPR-RI', 'KETENTUAN PENUTUP', 'Ruang Lingkup Revisi Anggaran', 'Batasan Revisi Anggaran', 'Revisi Anggaran Pada Direktorat Jenderal Anggaran', 'Revisi Anggaran pada Kantor Pusat/ Kantor Wilayah Direktorat Jenderal Perbendaharaan', 'Revisi Anggaran Pada Pengguna Anggaran/ Kuasa Pengguna Anggaran', 'Pengesahan dan Penyampaian Revisi DIPA', 'Revisi Anggaran Yang Memerlukan Persetujuan DPR-RI', 'Revisi Anggaran Yang Memerlukan Persetujuan Menteri Keuangan', 'Batas Akhir Penerimaan Usul Revisi Anggaran']"
225-pmk.011-2013,225/PMK.011/2013,"Tata Cara Pemberian Jaminan Kelayakan Usaha Pt Perusahaan Listrik Negara (Persero) untuk Pembangunan Pembangkit Tenaga Listrik dengan Menggunakan Energi Terbarukan, Batubara, dan Gas yang Dilakukan Melalui Kerja Sama dengan Pengembang Listrik Swasta.",2013,225,"['Jaminan Kelayakan Usaha', 'Risiko Gagal Bayar', 'Risiko Terminasi', 'Risiko Politik', 'Pengembang Listrik Swasta, selanjutnya disingkat PLS', 'Proyek Pembangunan Pembangkit Tenaga Listrik', 'Perjanjian Jual Beli Tenaga Listrik', 'Pemenuhan Pembiayaan ( Financial Close)', 'Masa Persiapan Proyek Pembangkit Listrik', 'Masa Konstruksi Proyek Pembangkit Listrik', 'Masa Operasi Proyek Pembangkit Listrik']",[],"['KETENTUAN UMUM', 'TUJUAN DAN RUANG LINGKUP JAMINAN KELAYAKAN USAHA', 'BENTUK DAN MASA BERLAKU JAMINAN KELAYAKAN USAHA', 'PROSEDUR DAN PERSYARATAN PEMBERIAN JAMINAN KELAYAKAN USAHA', 'PEMANTAUAN DAN MITIGASI RISIKO', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP', 'Bentuk', 'Masa Berlaku Proyek Pembangkit Listrik Selain Pembangkit Listrik Tenaga Panas Bumi', 'Masa Berlaku Proyek Pembangkit Listrik Tenaga Panas Bumi', 'Proyek Pembangkit Listrik Selain Pembangkit Listrik Tenaga Panas Bumi', 'Proyek Pembangkit Listrik Tenaga Panas Bumi', 'Proyek Pembangkit Listrik Penambahan Kapasitas Pembangkit Pada Pusat Pembangkit Tenaga Listrik Yang Telah Beroperasi Di Lokasi Yang Sama']"
100-pmk.05-2016,100/PMK.05/2016,Pedoman Umum Penyusunan Tarif Layanan Badan Layanan Umum.,2016,100,['Badan Layanan Umum'],[],[]
107-pmk.010-2015,107/PMK.010/2015,Perubahan Keempat atas Peraturan Menteri Keuangan Nomor 154/PMK.03/2010 tentang Pemungutan Pajak Penghasilan Pasal 22 Sehubungan dengan Pembayaran atas Penyerahan Barang dan Kegiatan di Bidang Impor atau Kegiatan Usaha di Bidang Lain.,2015,107,"['Pemungut pajak sebagaimana dimaksud dalam Pasal 22 Undang- Undang Nomor 7 Tahun 1983 tentang Pajak Penghasilan sebagaimana telah beberapa kali diubah terakhir dengan Undang-Undang Nomor 36 Tahun 2008,', 'Badan usaha yang bergerak dalam bidang usaha industri baja sebagaimana dimaksud pada ayat (1) huruf f,', 'Izin usaha pertambangan sebagaimana dimaksud pada ayat (1) huruf j']",[],[]
76-pmk.07-2014,76/PMK.07/2014,"Pedoman Umum dan Alokasi Dana Tambahan Penghasilan Guru Pegawai Negeri Sipil Daerah Kepada Daerah Provinsi, Kabupaten, dan Kota Tahun Anggaran 2014.",2014,76,['Dana Tambahan Penghasilan Guru Pegawai Negeri Sipil Daerah Tahun Anggaran 2014'],['DTP Guru PNSD'],[]
90-pmk.01-2013,90/PMK.01/2013,"Tata Cara Pembayaran Penerimaan Negara Bukan Pajak atas Biaya Perizinan, Biaya Persetujuan, dan Denda Administratif yang Berasal Dari Akuntan Publik, Kantor Akuntan Publik, Cabang Kantor Akuntan Publik, Kantor Akuntan Publik Asing, dan Organisasi Audit Asing.",2013,90,"['Penerimaan Negara Bukan Pajak', 'Akuntan Publik', 'Kantor Akuntan Publik', 'Kantor Akuntan Publik Asing', 'Organisasi Audit Asing', 'Pembayaran', 'Kas Negara', 'Wajib Bayar', 'Bank Persepsi', 'Pos Persepsi', 'Penerimaan Negara Bukan Pajak yang Terutang', 'Menteri', 'Pusat Pembinaan Akuntan dan Jasa Penilai']",[],"['KETENTUAN UMUM', 'BIAYA PERIZINAN DAN PERSETUJUAN', 'TATA CARA PEMBAYARAN BIAYA PERIZINAN DAN BIAYA PERSETUJUAN', 'DENDA ADMINISTRATIF', 'TATA CARA PEMBAYARAN DENDA ADMINISTRATIF', 'PENAGIHAN PENERIMAAN NEGARA BUKAN PAJAK YANG TERUTANG', 'KETENTUAN PENUTUP']"
97-pmk.011-2012,97/PMK.011/2012,Bea Masuk Ditanggung Pemerintah atas Impor Barang dan Bahan Guna Pembuatan Peralatan Telekomunikasi untuk Tahun Anggaran 2012.,2012,97,"['Perusahaan', 'Barang dan Bahan Untuk Industri Pembuatan Peralatan Telekomunikasi']",['Barang dan Bahan'],[]
185-pmk.06-2009,185/PMK.06/2009,Penilaian Aset Bekas Milik Asing/Cina dan Benda Cagar Budaya.,2009,185,"['Aset Bekas Milik Asing dan Bekas Milik Cina,', 'Benda Cagar Budaya', 'Menteri', 'Direktorat Jenderal', 'Direktur Jenderal', 'Kantor Pelayanan', 'Penilaian', 'Penilai', 'Penilai Internal di Lingkungan Direktorat Jenderal Kekayaan Negara,', 'Pemohon Penilaian', 'Nilai Pasar', 'Lelang', 'Basis Data']","['Aset Bekas Milik Asing/Cina,', 'Penilai Direktorat Jenderal,']","['Umum', '(1) Penilaian yang diatur dalam Peraturan Menteri Keuangan ini merupakan pelaksanaan Penilaian yang dilakukan oleh Penilai Direktorat Jenderal. (2) Pelaksanaan Penilaian oleh Penilai Direktorat Jenderal sebagaimana dimaksud pada ayat (1) dilakukan dalam Tim Penilai Direktorat Jenderal.', 'PERMOHONAN PENILAIAN', 'BASIS DATA PENILAIAN', '(1) Kepala Kantor Pelayanan membentuk Basis Data hasil Penilaian kekayaan yang dikuasai Negara berupa Aset Bekas Milik Asing/Cina dan Benda Cagar Budaya.', 'Pada saat Peraturan Menteri Keuangan ini mulai berlaku, ketentuan dalam Pasal 52 Peraturan Menteri Keuangan Nomor 02/PMK.06/2008 tentang Penilaian Barang Milik Negara dinyatakan tidak berlaku untuk Penilaian Aset Bekas Milik Asing/Cina dan Benda Cagar Budaya.', 'Peraturan Menteri Keuangan ini mulai berlaku pada tanggal diundangkan.', 'Objek Penilaian', 'Tujuan Penilaian', 'Kewenangan Penilaian', 'Pembentukan Tim Penilai Internal', 'Pemohon Penilaian', 'Persyaratan Permohonan Penilaian', 'Proses Penilaian oleh Tim Penilai Direktorat Jenderal', 'Proses Penilaian meliputi:', 'c. mengumpulkan data awal;', 'e. menganalisis data;', 'h. menyusun laporan Penilaian.', 'Berdasarkan permohonan Penilaian, Kepala Kantor Pelayanan menugaskan Tim Penilai Direktorat Jenderal dari Kantor Pelayanan untuk melakukan identifikasi permohonan Penilaian, dengan cara melakukan verifikasi atas:', 'Tim Penilai Direktorat Jenderal dari Kantor Pelayanan, melalui Kepala Kantor Pelayanan, meminta secara tertulis kelengkapan data dan/atau informasi kepada Pemohon Penilaian, dalam hal: a. data dan/atau informasi objek Penilaian yang diserahkan belum lengkap; dan/atau b. membutuhkan data dan/atau informasi lebih lanjut sebagai bahan Penilaian.', 'Penentuan Tujuan Penilaian', 'Tim Penilai Direktorat Jenderal dari Kantor Pelayanan menentukan tujuan Penilaian berdasarkan permohonan Penilaian dan ketentuan sebagaimana dimaksud dalam Pasal 4.', 'Pengumpulan Data Awal', 'Survei Lapangan', 'b. pendekatan biaya; dan/atau c. pendekatan pendapatan.', '(1) Pendekatan data pasar sebagaimana dimaksud dalam Pasal 38 huruf a dilakukan untuk mengestimasi nilai objek Penilaian dengan cara mempertimbangkan data penjualan dan/atau data penawaran dari objek pembanding sejenis atau pengganti dan data pasar yang terkait melalui proses perbandingan. (2) Pendekatan biaya sebagaimana dimaksud dalam Pasal 38 huruf b dilakukan untuk mengestimasi nilai objek Penilaian dengan cara menghitung seluruh biaya yang dikeluarkan untuk membuat/ memperoleh objek Penilaian atau penggantinya pada waktu Penilaian dilakukan kemudian dikurangi dengan penyusutan fisik atau penyusutan teknis, keusangan fungsional, dan/atau keusangan ekonomis.', 'Kesimpulan Nilai', 'Laporan Penilaian']"
25-pmk.01-2014,25/PMK.01/2014,Akuntan Beregister Negara.,2014,25,"['Akuntan', 'Kantor Jasa Akuntansi', 'Register Negara Akuntan', 'Asosiasi Profesi Akuntan', 'Rekan', 'Menteri', 'Pusat Pembinaan Akuntan dan Jasa Penilai,']",[],"['KETENTUAN UMUM', 'REGISTER NEGARA AKUNTAN', 'KANTOR JASA AKUNTANSI', 'PEMBINAAN', 'PANITIA AHLI', 'ASOSIASI PROFESI AKUNTAN', 'TATA CARA PEMBERIAN SANKSI ADMINISTRATIF', 'LAPORAN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP', 'Umum', 'Pendidikan Profesi Akuntansi', 'Ujian Sertifikasi Akuntan Profesional', 'Pengalaman di Bidang Akuntansi', 'Tata Cara Pengajuan Permohonan', 'Warga Negara Asing', 'Kewajiban Akuntan dan Kantor Jasa Akuntansi', 'Pendidikan Profesional Berkelanjutan']"
176-pmk.05-2017,176/PMK.05/2017,Pedoman Remunerasi Badan Layanan Umum.,2017,176,"['Badan Layanan Umum', 'Pejabat Pengelola BLU', 'Pemimpin BLU', 'Pejabat Keuangan BLU', 'Pejabat Teknis BLU', 'Dewan Pengawas BLU', 'Sekretaris Dewan Pengawas BLU', 'Pegawai BLU', 'Pegawai Negeri Sipil', 'Gaji', 'Honorarium', 'Tunjangan Tetap', 'Insentif']","['Pejabat Pengelola', 'Pejabat Keuangan', 'Pejabat Teknis', 'Dewan Pengawas', 'Sekretaris Dewan Pengawas', 'Pegawai']","['KETENTUAN UMUM', 'PRINSIP', 'KOMPONEN REMUNERASI', 'PENGUSULAN DAN PENETAPAN REMUNERASI', 'MONITORING DAN EVALUASI', 'KETENTUAN LAIN-LAIN', 'KETENTUAN PENUTUP', 'Umum', 'Gaji', 'Honorarium', 'Tunjangan Tetap', 'Insentif', 'Bonus Atas Prestasi', 'Pesangon', 'Pensiun', 'Lain-Lain', 'Pengusulan Remunerasi', 'Penetapan Remunerasi']"
perpres-16-tahun-2015,PERPRES 16 TAHUN 2015,Kementerian Lingkungan Hidup dan Kehutanan.,2015,16,[],[],"['KEDUDUKAN, TUGAS, DAN FUNGSI', 'ORGANISASI', 'UNIT PELAKSANA TEKNIS', 'TATA KERJA', 'PENDANAAN', 'KETENTUAN LAIN-LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP', 'Susunan Organisasi', 'Sekretariat Jenderal', 'Direktorat Jenderal Planologi Kehutanan dan Tata Lingkungan', 'Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem', 'Direktorat Jenderal Pengendalian Daerah Aliran Sungai dan Hutan Lindung', 'Direktorat Jenderal Pengelolaan Hutan Produksi Lestari', 'Direktorat Jenderal Pengendalian Pencemaran dan Kerusakan Lingkungan', 'Direktorat Jenderal Pengelolaan Sampah, Limbah, dan Bahan Beracun Berbahaya', 'Direktorat Jenderal Pengendalian Perubahan Iklim', 'Direktorat Jenderal Perhutanan Sosial dan Kemitraan Lingkungan', 'Direktorat Jenderal Penegakan Hukum Lingkungan Hidup dan Kehutanan', 'Inspektorat Jenderal', 'Badan Penyuluhan dan Pengembangan Sumber Daya Manusia', 'Badan Penelitian, Pengembangan, dan Inovasi', 'Staf Ahli', 'Jabatan Fungsional']"
168-pmk.06-2013,168/PMK.06/2013,Tata Cara Pengembalian Pengurusan Piutang yang Berasal Dari Penyerahan Badan Usaha Milik Negara/Badan Usaha Milik Daerah dan Badan Usaha yang Modalnya Sebagian atau Seluruhnya Dimiliki oleh Badan Usaha Milik Negara/Badan Usaha Milik Daerah.,2013,168,"['Berkas Kasus Piutang Negara', 'Direktorat Jenderal', 'Panitia Urusan Piutang Negara', 'Badan Usaha Milik Negara', 'Badan Usaha Milik Daerah', 'Kantor Pelayanan', 'Channeling', 'Risk sharing', 'Penyerah Piutang', 'Penanggung Hutang', 'Barang Jaminan']","['PUPN', 'BUMN', 'BUMD']",[]
228-pmk.010-2012,228/PMK.010/2012,Perubahan atas Peraturan Menteri Keuangan Nomor 11/PMK.010/2011 tentang Kesehatan Keuangan Usaha Asuransi dan Usaha Reasuransi dengan Prinsip Syariah.,2012,228,[],[],[]
pp-45-tahun-2014,PP 45 TAHUN 2014,Jenis dan Tarif atas Jenis Penerimaan Negara Bukan Pajak yang Berlaku pada Kementerian Hukum dan Hak Asasi Manusia.,2014,45,[],[],[]
perpres-85-tahun-2013,PERPRES 85 TAHUN 2013,Tunjangan Kinerja Pegawai di Lingkungan Kementerian Pariwisata dan Ekonomi Kreatif.,2013,85,"['Pegawai Negeri', 'Pegawai di lingkungan Kementerian Pariwisata dan Ekonomi Kreatif']",[],[]
165-pmk.01-2016,165/PMK.01/2016,Perubahan atas Peraturan Menteri Keuangan Nomor 174/PMK.01/2012 tentang Organisasi dan Tata Kerja Kantor Layanan Informasi dan Pengaduan Direktorat Jenderal Pajak.,2016,165,['Kantor Layanan Informasi dan Pengaduan Direktorat Jenderal Pajak'],[],[]
pp-57-tahun-2013,PP 57 TAHUN 2013,Jenis dan Tarif atas Jenis Penerimaan Negara Bukan Pajak yang Berlaku di Lingkungan Kementerian Pertahanan.,2013,57,"['Tarif atas jenis Penerimaan Negara Bukan Pajak sebagaimana dimaksud pada ayat (1) huruf f', 'Jasa Pelayanan sebagaimana dimaksud pada ayat (1) huruf f']",[],[]
pp-85-tahun-2015,PP 85 TAHUN 2015,Perubahan atas Peraturan Pemerintah Nomor 32 Tahun 2009 tentang Tempat Penimbunan Berikat.,2015,85,"['Tempat Penimbunan Berikat', 'Gudang Berikat', 'Kawasan Berikat', 'Tempat Penyelenggaraan Pameran Berikat', 'Tempat Lelang Berikat', 'Kawasan Daur Ulang Berikat', 'Pusat Logistik Berikat', 'Dokumen Lingkungan Hidup', 'Daerah Pabean', 'Menteri', 'Direktur Jenderal', 'Pajak Dalam Rangka Impor', 'Kawasan Ekonomi Khusus,', 'Kawasan Perdagangan Bebas dan Pelabuhan Bebas']","['KEK,', 'Kawasan Bebas,']","['PUSAT LOGISTIK BERIKAT', 'KETENTUAN LAIN-LAIN', 'Penyelenggaraan dan Pengusahaan', 'Perlakuan Kepabeanan dan Perpajakan', 'Penyelenggara Pusat Logistik Berikat', 'Pengusaha Pusat Logistik Berikat', 'Pengusaha di Pusat Logistik Berikat', 'Pengeluaran Barang dari Pusat Logistik Berikat']"
82-pmk.03-2017,82/PMK.03/2017,Pemberian Pengurangan Pajak Bumi dan Bangunan.,2017,82,"['Undang-Undang Ketentuan Umum dan Tata Cara Perpajakan', 'Undang-Undang Pajak Bumi dan Bangunan', 'Pajak Bumi dan Bangunan', 'Objek pajak PBB', 'Pengurangan PBB', 'Surat Pemberitahuan Pajak Terutang', 'Surat Ketetapan Pajak PBB', 'Surat Tagihan Pajak PBB', 'Kantor Pelayanan Pajak', 'Kantor Wilayah Direktorat Jenderal Pajak']","['Undang-Undang KUP', 'Undang-Undang PBB', 'Objek Pajak']",[]
17-pmk.03-2011,17/PMK.03/2011,Permohonan Pengembalian Kelebihan Pembayaran Pajak Bumi dan Bangunan.,2011,17,"['Pajak Bumi dan Bangunan', 'Surat Keputusan Kelebihan Pembayaran Pajak Bumi dan Bangunan', 'Surat Pemberitahuan', 'Surat Ketetapan Pajak Pajak Bumi dan Bangunan', 'Perusahaan Jasa Ekspedisi atau Jasa Kurir']",['Perusahaan Jasa'],['KETENTUAN PENUTUP']
perpres-31-tahun-2013,PERPRES 31 TAHUN 2013,Biaya Penyelenggaraan Ibadah Haji Tahun 1434H/2013M.,2013,31,"['Biaya Penyelenggaraan Ibadah Haji', 'Jemaah haji', 'Penyelenggaraan Ibadah Haji Khusus', 'Bank Penerima Setoran Biaya Penyelenggaraan Ibadah Haji']","['BPIH', 'BPS-BPIH']",[]
13-pmk.07-2010,13/PMK.07/2010,Perkiraan Alokasi Tambahan Dana Bagi Hasil Sumber Daya Alam Pertambangan Minyak Bumi dan Gas Bumi untuk Provinsi Nanggroe Aceh Darussalam Tahun Anggaran 2010.,2010,13,"['Perkiraan alokasi tambahan DBH SDA Migas sebagaimana dimaksud pada ayat (1)', '000,00 (enam ratus dua belas miliar lima ratus empat puluh dua juta tiga ratus delapan puluh dua ribu rupiah), dengan rincian sebagai berikut: a. Perkiraan alokasi tambahan DBH SDA yang berasal dari Pertambangan Minyak Bumi', '000,00 (dua ratus sembilan puluh lima miliar sembilan ratus tujuh puluh juta tiga ratus dua puluh sembilan ribu rupiah); dan b. Perkiraan alokasi tambahan DBH SDA yang berasal dari Pertambangan Gas Bumi']",[],[]
46-pmk.08-2016,46/PMK.08/2016,Perubahan atas Peraturan Menteri Keuangan Nomor 238/PMK. 08/2014 tentang Penjualan Surat Utang Negara di Pasar Perdana dalam Denominasi Yen di Jepang.,2016,46,[],[],[]
222-pmk.07-2017,222/PMK.07/2017,"Penggunaan, Pemantauan, dan Evaluasi Dana Bagi Hasil Cukai Hasil Tembakau.",2017,222,[],[],[]
pp-32-tahun-2014,PP 32 TAHUN 2014,Kawasan Ekonomi Khusus Bitung.,2014,32,[],[],[]
132-pmk.02-2019,132/PMK.02/2019,Perubahan atas Peraturan Menteri Keuangan Nomor 206/PMK.02/2018 tentang Tata Cara Revisi Anggaran Tahun Anggaran 2019.,2019,132,[],[],[]
38-pmk.011-2013,38/PMK.011/2013,Perubahan atas Peraturan Menteri Keuangan Nomor 75/PMK.03/2010 tentang Nilai Lain Sebagai Dasar Pengenaan Pajak.,2013,38,[],[],[]
125-pmk.011-2012,125/PMK.011/2012,"Perubahan Ketiga atas Peraturan Menteri Keuangan Nomor 36/PMK.03/2007 tentang Batasan Rumah Sederhana, Rumah Sangat Sederhana, Rumah Susun Sederhana, Pondok Boro, Asrama Mahasiswa dan Pelajar Serta Perumahan Lainnya yang atas Penyerahannya Dibebaskan Dari Pengenaan Pajak Pertambahan Nilai.",2012,125,[],[],[]
85-pmk.010-2016,85/PMK.010/2016,"Perubahan atas Peraturan Menteri Keuangan Nomor 118/PMK.011/2012 tentang Penetapan
Tarif Bea Masuk dalam Rangka Asean-Korea Free Trade Area (Akfta).",2016,85,[],[],[]
195-pmk.02-2017,195/PMK.02/2017,"Perubahan atas Peraturan Menteri Keuangan Nomor 9/PMK. 02/2016 tentang Tata Cara Pembayaran Pajak Air Permukaan, Pajak Air Tanah, dan Pajak Penerangan Jalan untuk Kegiatan Usaha Hulu Minyak dan Gas Bumi yang Dibayarkan oleh Pemerintah Pusat.",2017,195,"['Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak dan Gas Bumi', 'Kontrak Kerja Sama', 'Kontraktor', 'Peraturan Daerah', 'Peraturan Kepala Daerah', 'Pajak Daerah', 'Pajak Air Permukaan', 'Air Permukaan', 'Pajak Air Tanah', 'Air Tanah', 'Pajak Penerangan Jalan', '000411980 pada Bank Indonesia']","['Pajak', 'Rekening Minyak dan Gas Bumi']",[]
